Feed Flow (m3/hr),Feed Pressure(bar),Feed Temperature,Feed water pH,Specific Energy(kwh/m3),Flux(lmh),Pass Stage,Pressure Vessel,Elements,Element age(years),Recovery(%),Ca_FW,Mg_FW,Na_FW,K_FW,NH4_FW,Ba_FW,Sr_FW,H_FW,CO3_FW,HCO3_FW,SO4_FW,Cl_FW,F_FW,NO3_FW,PO4_FW,OH_FW,SiO2_FW,B_FW,CO2_FW,NH3_FW,Feed Water TDS,"CaSO4 / ksp * 100, %_FW","SrSO4 / ksp * 100, %_FW","BaSO4 / ksp * 100, %_FW","SiO2 saturation, %_FW","CaF2 / ksp * 100, %_FW",Ca_P,Mg_P,Na_P,K_P,NH4_P,Ba_P,Sr_P,H_P,CO3_P,HCO3_P,SO4_P,Cl_P,F_P,NO3_P,PO4_P,OH_P,SiO2_P,B_P,CO2_P,NH3_P,Permeate TDS,Ca_C,Mg_C,Na_C,K_C,NH4_C,Ba_C,Sr_C,H_C,CO3_C,HCO3_C,SO4_C,Cl_C,F_C,NO3_C,PO4_C,OH_C,SiO2_C,B_C,CO2_C,NH3_C,Concentrate TDS,"CaSO4 / ksp * 100, %_C","SrSO4 / ksp * 100, %_C","BaSO4 / ksp * 100, %_C","SiO2 saturation, %_C","CaF2 / ksp * 100, %_C"
16.49,15.50,25.00,7.00,8.57,13.56,1.00,3.00,6.00,3.00,55.00,719.16,290.50,546.83,0.00,0.00,0.00,0.00,0.00,0.79,784.08,498.30,2138.69,0.00,0.00,0.00,,99.49,0.00,85.68,,5077.83,27.57,0.00,0.00,79.46,0.00,1.97,0.67,6.10,0.00,0.00,0.00,0.00,0.00,0.00,9.11,0.85,9.13,0.00,0.00,0.00,,1.16,0.00,85.95,,29.00,1595.26,644.56,1207.37,0.00,0.00,0.00,0.00,0.00,3.86,1726.56,1105.97,4740.13,0.00,0.00,0.00,,219.61,0.00,86.83,,11243.32,74.02,0.00,0.00,175.11,0.00
11.00,17.76,25.00,7.00,6.55,12.33,1.00,2.00,6.00,3.00,50.00,1081.98,437.00,821.96,0.00,0.00,0.00,0.00,0.00,1.17,1048.83,749.64,3292.40,0.00,0.00,0.00,,149.67,0.00,105.09,,7582.65,45.73,0.00,0.00,119.53,0.00,3.16,1.06,9.88,0.00,0.00,0.00,0.00,0.00,0.00,12.93,1.34,15.60,0.00,0.00,0.00,,1.90,0.00,105.57,,45.88,2159.69,872.48,1633.20,0.00,0.00,0.00,0.00,0.00,4.54,2079.10,1497.16,6565.80,0.00,0.00,0.00,,297.29,0.00,106.27,,15109.27,107.68,0.00,0.00,237.11,0.00
11.00,17.73,25.00,7.00,6.54,12.33,1.00,2.00,6.00,3.00,50.00,1081.96,437.00,821.98,0.00,0.00,0.00,0.00,0.00,1.17,1049.14,749.64,3292.27,0.00,0.00,0.00,,99.77,0.00,105.12,,7532.93,45.73,0.00,0.00,79.68,0.00,3.16,1.06,9.88,0.00,0.00,0.00,0.00,0.00,0.00,12.93,1.34,15.60,0.00,0.00,0.00,,1.27,0.00,105.58,,45.24,2159.66,872.48,1633.25,0.00,0.00,0.00,0.00,0.00,4.55,2079.84,1497.17,6565.57,0.00,0.00,0.00,,198.17,0.00,106.24,,15010.69,107.68,0.00,0.00,158.06,0.00
16.50,16.82,25.00,7.00,9.30,14.80,1.00,3.00,5.00,3.00,50.00,719.16,290.50,546.83,0.00,0.00,0.00,0.00,0.00,0.79,784.08,498.30,2138.69,0.00,0.00,0.00,,99.49,0.00,85.68,,5077.83,27.57,0.00,0.00,79.46,0.00,1.71,0.58,5.28,0.00,0.00,0.00,0.00,0.00,0.00,7.99,0.74,7.91,0.00,0.00,0.00,,1.01,0.00,85.84,,25.20,1436.18,580.26,1088.05,0.00,0.00,0.00,0.00,0.00,3.15,1556.66,995.56,4268.21,0.00,0.00,0.00,,197.92,0.00,86.57,,10125.98,64.98,0.00,0.00,157.86,0.00
16.50,16.80,25.00,7.00,9.29,14.80,1.00,3.00,5.00,3.00,50.00,719.16,290.50,546.83,0.00,0.00,0.00,0.00,0.00,0.79,784.28,498.30,2138.60,0.00,0.00,0.00,,66.32,0.00,85.70,,5044.78,27.57,0.00,0.00,52.97,0.00,1.77,0.60,5.46,0.00,0.00,0.00,0.00,0.00,0.00,8.24,0.77,8.18,0.00,0.00,0.00,,0.69,0.00,85.86,,25.70,1436.12,580.24,1087.87,0.00,0.00,0.00,0.00,0.00,3.15,1556.89,995.53,4267.77,0.00,0.00,0.00,,131.91,0.00,86.54,,10059.47,64.98,0.00,0.00,105.21,0.00
15.00,16.48,25.00,7.00,8.29,14.80,1.00,3.00,5.00,3.00,55.00,719.16,290.50,546.83,0.00,0.00,0.00,0.00,0.00,0.79,784.08,498.30,2138.69,0.00,0.00,0.00,,99.52,0.00,85.68,,5077.86,27.57,0.00,0.00,79.49,0.00,1.56,0.53,4.84,0.00,0.00,0.00,0.00,0.00,0.00,7.39,0.67,7.23,0.00,0.00,0.00,,0.92,0.00,85.89,,23.13,1595.35,644.56,1208.60,0.00,0.00,0.00,0.00,0.00,3.87,1728.30,1105.89,4741.21,0.00,0.00,0.00,,219.91,0.00,86.84,,11247.68,74.00,0.00,0.00,175.36,0.00
8.23,20.40,25.00,7.00,5.63,15.49,1.00,1.00,5.00,3.00,35.00,1436.13,580.25,1087.88,0.00,0.00,0.00,0.00,0.00,1.76,1462.00,995.54,4324.62,0.00,0.00,0.00,,197.92,0.00,136.43,,10086.10,64.98,0.00,0.00,158.05,0.00,2.94,0.99,9.28,0.00,0.00,0.00,0.00,0.00,0.00,12.90,1.26,14.24,0.00,0.00,0.00,,1.78,0.00,136.92,,43.40,2207.25,891.91,1668.21,0.00,0.00,0.00,0.00,0.00,4.08,2238.88,1530.50,6643.80,0.00,0.00,0.00,,303.45,0.00,137.18,,15488.08,110.65,0.00,0.00,242.15,0.00
8.23,20.36,25.00,7.00,5.62,15.49,1.00,1.00,5.00,3.00,35.00,1436.13,580.25,1087.88,0.00,0.00,0.00,0.00,0.00,1.76,1462.19,995.54,4324.58,0.00,0.00,0.00,,131.91,0.00,136.45,,10020.24,64.98,0.00,0.00,105.34,0.00,2.94,0.99,9.28,0.00,0.00,0.00,0.00,0.00,0.00,12.90,1.26,14.23,0.00,0.00,0.00,,1.19,0.00,136.92,,42.80,2207.26,891.91,1668.21,0.00,0.00,0.00,0.00,0.00,4.08,2239.26,1530.51,6643.75,0.00,0.00,0.00,,202.25,0.00,137.15,,15387.22,110.65,0.00,0.00,161.39,0.00
11.00,20.48,25.00,7.00,7.55,12.33,1.00,2.00,6.00,3.00,50.00,300.18,121.87,2374.69,0.00,0.00,0.00,0.00,0.00,0.48,454.97,749.14,3730.67,0.00,0.00,0.00,,99.65,0.00,47.50,,7831.66,14.57,0.00,0.00,79.59,0.00,0.63,0.19,23.99,0.00,0.00,0.00,0.00,0.00,0.00,4.98,1.14,35.14,0.00,0.00,0.00,,1.06,0.00,47.55,,67.12,599.50,243.46,4723.55,0.00,0.00,0.00,0.00,0.00,1.91,902.80,1496.57,7423.30,0.00,0.00,0.00,,198.17,0.00,48.05,,15589.25,34.38,0.00,0.00,158.05,0.00
11.00,17.56,32.00,7.00,6.47,12.33,1.00,2.00,6.00,3.00,50.00,300.18,121.87,2374.69,0.00,0.00,0.00,0.00,0.00,0.56,457.38,749.14,3729.14,0.00,0.00,0.00,,99.65,0.00,44.29,,7832.62,14.55,0.00,0.00,79.53,0.00,0.86,0.25,32.76,0.00,0.00,0.00,0.00,0.00,0.00,6.61,1.55,47.98,0.00,0.00,0.00,,1.46,0.00,44.44,,91.47,599.15,243.35,4713.90,0.00,0.00,0.00,0.00,0.00,2.17,905.40,1495.87,7406.02,0.00,0.00,0.00,,197.73,0.00,44.97,,15563.59,34.33,0.00,0.00,157.52,0.00
1851.84,66.01,25.00,7.00,4097.01,12.91,1.00,248.00,7.00,3.00,45.00,200.00,100.00,16129.63,0.00,0.00,0.00,0.00,0.00,0.41,243.01,0.00,25377.47,0.00,0.00,0.00,,0.00,0.00,14.98,,42050.53,0.00,0.00,0.00,0.00,0.00,0.44,0.22,165.91,0.00,0.00,0.00,0.00,0.00,0.00,2.75,0.00,255.82,0.00,0.00,0.00,,0.00,0.00,15.10,,425.14,362.74,181.37,29147.53,0.00,0.00,0.00,0.00,0.00,1.20,438.22,0.00,45863.38,0.00,0.00,0.00,,0.00,0.00,15.06,,75994.44,0.00,0.00,0.00,0.00,0.00
48.20,16.68,25.00,7.19,34.66,17.29,1.00,9.00,5.00,3.00,60.00,425.30,62.08,439.49,39.78,0.00,0.00,0.00,0.00,1.29,956.13,568.98,670.31,0.00,0.00,0.00,,1.98,0.00,74.48,,3165.34,29.23,0.00,0.00,1.58,0.00,0.73,0.08,3.53,0.54,0.00,0.00,0.00,0.00,0.00,8.37,0.69,2.28,0.00,0.00,0.00,,0.02,0.00,75.03,,16.22,1061.88,155.05,1093.14,98.62,0.00,0.00,0.00,0.00,8.13,2367.69,1421.04,1671.93,0.00,0.00,0.00,,4.92,0.00,76.88,,7882.40,90.88,0.00,0.00,3.92,0.00
75.00,23.96,20.00,7.00,87.75,16.81,1.00,16.00,6.00,3.00,80.00,25.00,25.00,1882.79,0.00,0.00,0.00,0.00,0.00,0.07,89.52,0.00,2968.51,0.00,0.00,0.00,,20.00,0.00,11.10,,5010.90,0.00,0.00,0.00,15.98,0.00,0.05,0.05,15.33,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,23.45,0.00,0.00,0.00,,0.17,0.00,10.99,,40.15,124.51,124.51,9330.88,0.00,0.00,0.00,0.00,0.00,1.76,440.45,0.00,14714.47,0.00,0.00,0.00,,99.09,0.00,11.77,,24835.68,0.00,0.00,0.00,78.91,0.00
251.00,6.47,38.00,7.00,78.54,16.49,1.00,58.00,6.00,0.90,85.00,14.03,3.65,550.74,0.00,0.00,0.00,0.00,0.00,0.02,17.31,217.00,701.87,6.75,0.00,0.00,,30.00,0.00,2.06,,1541.37,0.71,0.00,0.00,23.94,59.14,0.20,0.05,17.05,0.00,0.00,0.00,0.00,0.00,0.00,0.71,3.22,23.64,0.25,0.00,0.00,,0.93,0.00,2.09,,46.05,92.28,24.00,3570.40,0.00,0.00,0.00,0.00,0.00,0.53,109.51,1426.61,4539.43,43.54,0.00,0.00,,194.48,0.00,2.81,,10000.78,7.35,0.00,0.00,153.89,7494.45
251.00,7.98,38.00,7.00,92.41,16.50,1.00,58.00,6.00,3.00,85.00,14.03,3.65,550.74,0.00,0.00,0.00,0.00,0.00,0.02,17.31,217.00,701.87,6.75,0.00,0.00,,30.00,0.00,2.06,,1541.37,0.71,0.00,0.00,23.94,59.14,0.25,0.07,20.87,0.00,0.00,0.00,0.00,0.00,0.00,0.82,3.98,28.90,0.30,0.00,0.00,,1.15,0.00,2.10,,56.35,92.06,23.95,3550.73,0.00,0.00,0.00,0.00,0.00,0.53,108.87,1423.06,4512.08,43.26,0.00,0.00,,193.35,0.00,2.81,,9947.88,7.34,0.00,0.00,153.01,7393.24
251.00,10.25,20.00,6.80,112.15,17.09,1.00,56.00,6.00,0.27,85.00,49.00,15.00,482.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.00,703.82,6.75,0.00,0.00,,30.00,0.00,0.00,,1501.07,2.37,0.00,0.00,22.84,203.93,0.39,0.12,8.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,12.81,0.13,0.00,0.00,,0.49,0.00,0.00,,24.26,324.27,99.25,3162.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1416.09,4616.50,44.21,0.00,0.00,,197.09,0.00,0.00,,9863.18,24.80,0.00,0.00,146.32,26674.42
251.00,14.55,20.00,6.80,152.76,17.08,1.00,56.00,6.00,3.00,84.90,49.00,15.00,482.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.00,703.82,6.75,0.00,0.00,,30.00,0.00,0.00,,1501.07,2.37,0.00,0.00,22.84,203.93,0.51,0.16,11.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,16.72,0.17,0.00,0.00,,0.65,0.00,0.00,,31.70,322.65,98.75,3138.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1408.98,4581.41,43.86,0.00,0.00,,195.65,0.00,0.00,,9793.30,24.68,0.00,0.00,145.74,26191.02
251.00,7.77,20.00,6.80,74.21,12.90,1.00,48.00,6.00,0.29,55.00,133.58,54.00,287.57,0.00,0.00,0.00,0.00,0.00,0.02,44.50,214.00,644.67,6.75,0.00,0.00,,112.20,0.00,9.98,,1500.28,6.03,0.00,0.00,85.43,534.95,1.85,0.38,4.18,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.52,9.21,0.10,0.00,0.00,,1.50,0.00,9.77,,19.77,294.54,119.51,633.84,0.00,0.00,0.00,0.00,0.00,0.10,97.76,473.63,1421.13,14.88,0.00,0.00,,247.47,0.00,10.12,,3309.46,16.11,0.00,0.00,197.68,4137.01
251.00,10.80,20.00,6.80,103.24,12.90,1.00,48.00,6.00,3.00,55.00,133.58,54.00,287.57,0.00,0.00,0.00,0.00,0.00,0.02,44.50,214.00,644.67,6.75,0.00,0.00,,112.20,0.00,9.98,,1500.28,6.03,0.00,0.00,85.43,534.95,1.92,0.40,4.33,0.00,0.00,0.00,0.00,0.00,0.00,1.02,1.58,9.54,0.10,0.00,0.00,,1.56,0.00,9.78,,20.49,294.41,119.47,633.55,0.00,0.00,0.00,0.00,0.00,0.10,97.71,473.47,1420.48,14.87,0.00,0.00,,247.35,0.00,10.12,,3308.02,16.10,0.00,0.00,197.59,4132.01
251.00,11.02,20.00,6.80,119.46,17.10,1.00,56.00,6.00,0.42,85.00,133.58,54.00,316.23,0.00,0.00,0.00,0.00,0.00,0.02,44.24,214.00,689.05,6.75,0.00,0.00,,38.00,0.00,9.89,,1498.87,5.85,0.00,0.00,28.93,526.50,1.96,0.39,5.27,0.00,0.00,0.00,0.00,0.00,0.00,1.05,1.54,11.01,0.12,0.00,0.00,,0.56,0.00,9.74,,21.94,881.89,358.80,2084.13,0.00,0.00,0.00,0.00,0.00,0.86,289.39,1421.92,4543.89,44.43,0.00,0.00,,250.87,0.00,10.50,,9895.99,61.01,0.00,0.00,199.93,69246.61
251.00,14.69,20.00,6.80,154.12,17.08,1.00,56.00,6.00,3.00,85.00,133.58,54.00,316.23,0.00,0.00,0.00,0.00,0.00,0.02,44.24,214.00,689.05,6.75,0.00,0.00,,38.00,0.00,9.89,,1498.87,5.85,0.00,0.00,28.93,526.50,2.34,0.47,6.26,0.00,0.00,0.00,0.00,0.00,0.00,1.15,1.84,13.10,0.14,0.00,0.00,,0.67,0.00,9.76,,26.03,874.98,356.42,2067.25,0.00,0.00,0.00,0.00,0.00,0.85,287.10,1412.49,4507.49,44.06,0.00,0.00,,248.89,0.00,10.49,,9819.18,60.48,0.00,0.00,198.36,67777.20
251.00,7.42,38.00,6.80,88.27,17.09,1.00,56.00,6.00,0.42,85.00,133.58,54.00,316.23,0.00,0.00,0.00,0.00,0.00,0.03,45.42,214.00,688.33,6.75,0.00,0.00,,38.00,0.00,8.40,,1499.34,5.83,0.00,0.00,28.90,525.37,3.54,0.70,9.85,0.00,0.00,0.00,0.00,0.00,0.00,1.61,2.79,20.33,0.23,0.00,0.00,,1.07,0.00,8.40,,40.20,869.81,355.74,2050.76,0.00,0.00,0.00,0.00,0.00,1.12,291.13,1409.77,4470.15,43.67,0.00,0.00,,247.06,0.00,9.44,,9758.73,60.02,0.00,0.00,195.98,66171.07
251.00,7.65,38.00,6.80,90.17,17.08,1.00,56.00,6.00,0.38,85.00,49.00,15.00,482.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.00,703.93,6.75,0.00,0.00,,30.00,0.00,0.00,,1501.26,2.36,0.00,0.00,22.82,203.49,0.68,0.21,15.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,23.08,0.24,0.00,0.00,,0.91,0.00,0.00,,43.62,322.43,98.69,3122.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1407.94,4556.33,43.57,0.00,0.00,,194.62,0.00,0.00,,9748.91,24.62,0.00,0.00,146.33,25814.30
251.00,10.07,38.00,6.80,112.35,17.10,1.00,56.00,6.00,3.00,85.00,49.00,15.00,482.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.00,703.93,6.75,0.00,0.00,,30.00,0.00,0.00,,1501.26,2.36,0.00,0.00,22.82,203.49,0.72,0.22,16.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16,24.36,0.26,0.00,0.00,,0.96,0.00,0.00,,46.04,323.44,99.00,3129.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1412.36,4566.44,43.66,0.00,0.00,,195.07,0.00,0.00,,9772.32,24.73,0.00,0.00,146.71,25973.97
251.00,9.87,38.00,6.80,110.71,17.08,1.00,56.00,6.00,3.00,85.00,133.58,54.00,316.23,0.00,0.00,0.00,0.00,0.00,0.03,45.42,214.00,688.33,6.75,0.00,0.00,,38.00,0.00,8.40,,1499.34,5.83,0.00,0.00,28.90,525.37,4.24,0.85,11.76,0.00,0.00,0.00,0.00,0.00,0.00,1.84,3.35,24.29,0.27,0.00,0.00,,1.29,0.00,8.42,,47.99,864.02,354.18,2035.74,0.00,0.00,0.00,0.00,0.00,1.11,289.08,1403.62,4438.45,43.32,0.00,0.00,,245.33,0.00,9.43,,9694.26,59.64,0.00,0.00,194.61,64874.89
251.00,5.77,38.00,6.80,55.13,12.89,1.00,48.00,6.00,0.29,55.00,133.58,54.00,287.57,0.00,0.00,0.00,0.00,0.00,0.03,45.39,214.00,644.07,6.75,0.00,0.00,,112.20,0.00,8.43,,1500.59,6.00,0.00,0.00,85.35,533.80,3.73,0.77,8.42,0.00,0.00,0.00,0.00,0.00,0.00,1.56,3.03,18.54,0.20,0.00,0.00,,3.02,0.00,8.34,,39.35,292.15,119.01,628.44,0.00,0.00,0.00,0.00,0.00,0.13,98.61,471.62,1407.93,14.75,0.00,0.00,,245.52,0.00,8.70,,3284.71,15.93,0.00,0.00,195.75,4036.46
251.00,7.53,38.00,6.80,71.97,12.90,1.00,48.00,6.00,3.00,55.00,133.58,54.00,287.57,0.00,0.00,0.00,0.00,0.00,0.03,45.39,214.00,644.07,6.75,0.00,0.00,,112.20,0.00,8.43,,1500.59,6.00,0.00,0.00,85.35,533.80,3.73,0.77,8.44,0.00,0.00,0.00,0.00,0.00,0.00,1.56,3.05,18.58,0.20,0.00,0.00,,3.04,0.00,8.34,,39.45,292.24,119.04,628.64,0.00,0.00,0.00,0.00,0.00,0.13,98.64,471.76,1408.36,14.75,0.00,0.00,,245.59,0.00,8.70,,3285.71,15.94,0.00,0.00,195.80,4039.70
120.00,34.81,20.00,7.00,227.64,13.05,1.00,33.00,6.00,3.00,80.00,1784.00,339.00,3107.80,50.00,0.00,0.80,10.00,0.00,0.02,18.40,365.00,8702.75,1.00,12.00,0.00,,30.00,0.00,1.70,,14420.77,23.77,5.91,860.73,23.97,60.74,4.08,0.69,32.30,0.82,0.00,0.00,0.02,0.00,0.00,0.46,0.50,59.07,0.02,0.25,0.00,,0.33,0.00,1.65,,98.55,8882.68,1688.25,15373.50,246.14,0.00,3.98,49.79,0.00,0.38,89.69,1818.71,43175.48,4.91,58.87,0.00,,148.33,0.00,1.84,,71540.71,172.02,34.03,5296.99,118.32,3737.32
120.00,30.59,35.00,7.00,204.41,13.04,1.00,33.00,6.00,3.00,80.00,1784.00,339.00,3107.80,50.00,0.00,0.80,10.00,0.00,0.03,18.33,365.00,8702.75,1.00,12.00,0.00,,30.00,0.00,1.42,,14420.71,23.69,5.89,857.44,23.93,60.63,6.93,1.17,54.90,1.39,0.00,0.00,0.04,0.00,0.00,0.65,0.83,100.38,0.04,0.42,0.00,,0.57,0.00,1.43,,167.31,8863.07,1684.77,15269.13,243.65,0.00,3.97,49.68,0.00,0.47,88.10,1815.69,42970.65,4.84,58.13,0.00,,147.24,0.00,1.63,,71199.40,171.19,33.86,5270.60,117.12,3634.28
30.00,17.76,25.00,7.00,29.68,14.42,1.00,7.00,6.00,3.00,75.00,15.00,3.00,2624.00,0.00,0.00,0.00,0.00,0.00,0.05,50.25,1000.00,3314.40,0.00,0.00,0.00,,10.00,0.00,5.43,,7016.70,1.10,0.00,0.00,7.99,0.00,0.02,0.00,25.29,0.00,0.00,0.00,0.00,0.00,0.00,0.82,3.21,36.37,0.00,0.00,0.00,,0.12,0.00,5.32,,65.83,59.90,11.98,10414.56,0.00,0.00,0.00,0.00,0.00,0.75,197.96,3988.25,13141.46,0.00,0.00,0.00,,39.63,0.00,5.70,,27854.49,6.12,0.00,0.00,31.55,0.00
30.00,20.02,25.00,7.00,30.12,14.41,1.00,7.00,6.00,3.00,75.00,15.00,3.00,2624.00,0.00,0.00,0.00,0.00,0.00,0.05,50.25,1000.00,3314.40,0.00,0.00,0.00,,10.00,0.00,5.43,,7016.70,1.10,0.00,0.00,7.99,0.00,0.03,0.01,28.27,0.00,0.00,0.00,0.00,0.00,0.00,0.87,3.57,40.66,0.00,0.00,0.00,,0.13,0.00,5.33,,73.53,59.86,11.97,10400.37,0.00,0.00,0.00,0.00,0.00,0.75,197.67,3985.12,13121.95,0.00,0.00,0.00,,39.57,0.00,5.70,,27817.27,6.12,0.00,0.00,31.50,0.00
9.50,24.71,25.00,7.00,8.85,14.91,1.00,2.00,6.00,3.00,70.00,16.00,4.88,3703.42,0.00,0.00,0.00,0.00,0.00,-0.14,-125.20,150.00,4801.61,0.00,1200.00,400.00,,5.00,0.00,-12.74,,10156.57,0.14,0.00,0.00,3.99,0.00,0.03,0.01,61.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,65.07,0.00,20.31,0.82,,0.00,0.00,0.00,,148.24,53.22,16.23,12193.49,0.00,0.00,0.00,0.00,0.00,-0.14,-124.34,498.27,15843.20,0.00,3127.66,711.41,,0.01,0.00,-12.65,,32322.34,0.63,0.00,0.00,0.00,0.00
5.69,50.31,25.00,7.00,10.54,12.25,1.00,5.00,5.00,3.00,45.00,53.40,16.30,12262.31,0.00,0.00,0.00,0.00,0.00,-0.93,-600.63,500.48,16049.46,0.00,3854.65,1334.55,,16.60,0.00,-41.93,,33489.47,0.63,0.00,0.00,13.25,0.00,0.15,0.05,271.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,318.67,0.00,91.60,3.89,,0.01,0.00,0.00,,688.15,96.97,29.60,22072.96,0.00,0.00,0.00,0.00,0.00,-0.93,-595.72,907.74,28919.62,0.00,5067.93,1384.35,,1.09,0.00,-41.58,,57889.61,1.31,0.00,0.00,0.00,0.00
123.47,55.75,25.00,7.00,275.99,13.35,1.00,16.00,7.00,3.00,45.00,200.00,120.00,13400.00,0.00,0.00,0.00,0.00,0.00,0.39,243.06,0.00,21226.44,0.00,0.00,0.00,,0.00,0.00,16.27,,35189.89,0.00,0.00,0.00,0.00,0.00,0.39,0.24,120.93,0.00,0.00,0.00,0.00,0.00,0.00,2.48,0.00,186.60,0.00,0.00,0.00,,0.00,0.00,16.33,,310.64,363.11,217.86,24250.68,0.00,0.00,0.00,0.00,0.00,1.15,438.97,0.00,38418.66,0.00,0.00,0.00,,0.00,0.00,16.36,,63690.43,0.00,0.00,0.00,0.00,0.00
123.47,55.75,25.00,7.00,275.99,13.35,1.00,16.00,7.00,3.00,45.00,200.00,120.00,13400.00,0.00,0.00,0.00,0.00,0.00,0.39,243.06,0.00,21226.44,0.00,0.00,0.00,,0.00,0.00,16.27,,35189.89,0.00,0.00,0.00,0.00,0.00,0.39,0.24,120.93,0.00,0.00,0.00,0.00,0.00,0.00,2.48,0.00,186.60,0.00,0.00,0.00,,0.00,0.00,16.33,,310.64,363.11,217.86,24250.68,0.00,0.00,0.00,0.00,0.00,1.15,438.97,0.00,38418.66,0.00,0.00,0.00,,0.00,0.00,16.36,,63690.43,0.00,0.00,0.00,0.00,0.00
55.56,14.13,15.00,7.00,34.35,19.22,1.00,10.00,7.00,3.00,90.00,14.00,5.00,152.00,0.00,0.00,0.00,0.00,0.00,0.02,30.75,76.44,196.82,1.70,0.00,1.00,,20.00,0.00,5.21,,498.57,0.58,0.00,0.00,15.99,5.93,0.10,0.04,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.56,3.07,0.03,0.00,0.01,,0.31,0.00,5.28,,7.16,138.88,49.59,1496.97,0.00,0.00,0.00,0.00,0.00,1.33,296.38,758.17,1937.50,16.70,0.00,9.90,,196.86,0.00,6.63,,4910.72,10.00,0.00,0.00,156.62,2213.19
55.56,14.42,15.00,7.00,34.94,19.22,1.00,10.00,7.00,3.00,90.00,14.00,5.00,152.00,0.00,0.00,0.00,0.00,0.00,0.02,30.75,76.44,196.82,1.70,0.00,1.00,,20.00,0.00,5.21,,498.57,0.58,0.00,0.00,15.99,5.93,0.02,0.01,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.16,2.18,0.03,0.00,0.00,,0.25,0.00,5.25,,4.91,139.56,49.84,1502.61,0.00,0.00,0.00,0.00,0.00,1.34,297.54,761.57,1944.93,16.70,0.00,9.94,,197.41,0.00,6.63,,4929.92,10.07,0.00,0.00,157.06,2220.13
55.56,7.88,36.00,7.00,19.68,19.21,1.00,10.00,7.00,3.00,90.00,14.00,5.00,152.00,0.00,0.00,0.00,0.00,0.00,0.02,30.67,76.44,196.82,1.70,0.00,1.00,,20.00,0.00,4.00,,498.50,0.58,0.00,0.00,15.96,5.91,0.19,0.07,4.70,0.00,0.00,0.00,0.00,0.00,0.00,1.18,1.06,6.30,0.06,0.00,0.02,,0.65,0.00,4.17,,14.24,137.74,49.18,1471.62,0.00,0.00,0.00,0.00,0.00,1.69,288.63,751.74,1903.71,16.37,0.00,9.80,,193.40,0.00,5.83,,4832.22,9.91,0.00,0.00,152.64,2116.15
55.56,7.85,35.00,7.00,19.47,19.21,1.00,10.00,7.00,3.00,89.90,14.00,5.00,152.00,0.00,0.00,0.00,0.00,0.00,0.02,30.68,76.44,196.82,1.70,0.00,1.00,,20.00,0.00,4.03,,498.51,0.58,0.00,0.00,15.97,5.91,0.04,0.01,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.29,4.15,0.05,0.00,0.01,,0.47,0.00,4.17,,8.99,138.92,49.61,1484.42,0.00,0.00,0.00,0.00,0.00,1.70,291.44,757.79,1920.66,16.42,0.00,9.87,,194.76,0.00,5.85,,4874.03,10.01,0.00,0.00,153.78,2140.30
75.00,23.96,20.00,7.00,87.75,16.81,1.00,16.00,6.00,3.00,80.00,25.00,25.00,1882.79,0.00,0.00,0.00,0.00,0.00,0.07,89.52,0.00,2968.51,0.00,0.00,0.00,,20.00,0.00,11.10,,5010.90,0.00,0.00,0.00,15.98,0.00,0.05,0.05,15.33,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,23.45,0.00,0.00,0.00,,0.17,0.00,10.99,,40.15,124.51,124.51,9330.88,0.00,0.00,0.00,0.00,0.00,1.76,440.45,0.00,14714.47,0.00,0.00,0.00,,99.09,0.00,11.77,,24835.68,0.00,0.00,0.00,78.91,0.00
70.59,23.50,20.00,7.00,86.41,16.81,1.00,16.00,6.00,3.00,84.90,25.00,25.00,1882.79,0.00,0.00,0.00,0.00,0.00,0.07,89.52,0.00,2968.51,0.00,0.00,0.00,,20.00,0.00,11.10,,5010.90,0.00,0.00,0.00,15.98,0.00,0.05,0.05,17.26,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,26.40,0.00,0.00,0.00,,0.19,0.00,11.05,,45.13,165.72,165.72,12406.59,0.00,0.00,0.00,0.00,0.00,2.92,584.34,0.00,19565.52,0.00,0.00,0.00,,131.75,0.00,12.18,,33022.56,0.00,0.00,0.00,104.83,0.00
